Header:
#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A3700F
#Date Time: 2022-10-28 16:26:39.696
#Sample rate: 50000Hz
#Samples: 1903814

time, angle, A, B
4.327760, 0.175781, 1, 0
4.340700, 0.351562, 1, 1
4.353120, 0.527344, 0, 1
4.367920, 0.703125, 0, 0
4.378460, 0.878906, 1, 0
4.387240, 1.054688, 1, 1
4.394620, 1.230469, 0, 1
4.401640, 1.406250, 0, 0
4.406540, 1.582031, 1, 0
4.411300, 1.757812, 1, 1
4.415840, 1.933594, 0, 1
4.420980, 2.109375, 0, 0
4.424660, 2.285156, 1, 0
4.428460, 2.460938, 1, 1
4.432340, 2.636719, 0, 1
4.436720, 2.812500, 0, 0
4.439880, 2.988281, 1, 0
4.443280, 3.164062, 1, 1
4.446720, 3.339844, 0, 1
4.450760, 3.515625, 0, 0
4.453900, 3.691406, 1, 0
4.457240, 3.867188, 1, 1
4.460740, 4.042969, 0, 1
4.464880, 4.218750, 0, 0
4.468200, 4.394531, 1, 0
4.471820, 4.570312, 1, 1
4.475920, 4.746094, 0, 1
4.480820, 4.921875, 0, 0
4.485060, 5.097656, 1, 0
4.489700, 5.273438, 1, 1
4.494940, 5.449219, 0, 1
4.501480, 5.625000, 0, 0
4.506260, 5.800781, 1, 0
4.510700, 5.976562, 1, 1
4.514600, 6.152344, 0, 1
4.518520, 6.328125, 0, 0
4.521060, 6.503906, 1, 0
4.523600, 6.679688, 1, 1
4.526020, 6.855469, 0, 1
4.528700, 7.031250, 0, 0
4.530680, 7.207031, 1, 0
4.532680, 7.382812, 1, 1
4.534700, 7.558594, 0, 1
4.537020, 7.734375, 0, 0
4.538720, 7.910156, 1, 0
4.540560, 8.085938, 1, 1
4.542520, 8.261719, 0, 1
4.544700, 8.437500, 0, 0
4.546460, 8.613281, 1, 0
4.548240, 8.789062, 1, 1
4.550040, 8.964844, 0, 1
4.552180, 9.140625, 0, 0
4.553820, 9.316406, 1, 0
4.555580, 9.492188, 1, 1
4.557500, 9.667969, 0, 1
4.559680, 9.843750, 0, 0
4.561440, 10.019531, 1, 0
4.563220, 10.195312, 1, 1
4.565040, 10.371094, 0, 1
4.567240, 10.546875, 0, 0
4.568840, 10.722656, 1, 0
4.570660, 10.898438, 1, 1
4.572680, 11.074219, 0, 1
4.574980, 11.250000, 0, 0
4.576880, 11.425781, 1, 0
4.578800, 11.601562, 1, 1
4.580820, 11.777344, 0, 1
4.583300, 11.953125, 0, 0
4.585180, 12.128906, 1, 0
4.587300, 12.304688, 1, 1
4.589660, 12.480469, 0, 1
4.592440, 12.656250, 0, 0
4.594740, 12.832031, 1, 0
4.597180, 13.007812, 1, 1
4.599700, 13.183594, 0, 1
4.602820, 13.359375, 0, 0
4.605180, 13.535156, 1, 0
4.607840, 13.710938, 1, 1
4.610680, 13.886719, 0, 1
4.613980, 14.062500, 0, 0
4.616640, 14.238281, 1, 0
4.619320, 14.414062, 1, 1
4.622040, 14.589844, 0, 1
4.625180, 14.765625, 0, 0
4.627580, 14.941406, 1, 0
4.630060, 15.117188, 1, 1
4.632660, 15.292969, 0, 1
4.635580, 15.468750, 0, 0
4.637820, 15.644531, 1, 0
4.640140, 15.820312, 1, 1
4.642460, 15.996094, 0, 1
4.645200, 16.171875, 0, 0
4.647220, 16.347656, 1, 0
4.649380, 16.523438, 1, 1
4.651600, 16.699219, 0, 1
4.654140, 16.875000, 0, 0
4.656060, 17.050781, 1, 0
4.658100, 17.226562, 1, 1
4.660140, 17.402344, 0, 1
4.662500, 17.578125, 0, 0
4.664280, 17.753906, 1, 0
4.666160, 17.929688, 1, 1
4.668100, 18.105469, 0, 1
4.670300, 18.281250, 0, 0
4.672020, 18.457031, 1, 0
4.673760, 18.632812, 1, 1
4.675580, 18.808594, 0, 1
4.677660, 18.984375, 0, 0
4.679280, 19.160156, 1, 0
4.680980, 19.335938, 1, 1
4.682760, 19.511719, 0, 1
4.684840, 19.687500, 0, 0
4.686440, 19.863281, 1, 0
4.688140, 20.039062, 1, 1
4.689920, 20.214844, 0, 1
4.692040, 20.390625, 0, 0
4.693660, 20.566406, 1, 0
4.695420, 20.742188, 1, 1
4.697240, 20.917969, 0, 1
4.699420, 21.093750, 0, 0
4.701080, 21.269531, 1, 0
4.702900, 21.445312, 1, 1
4.704840, 21.621094, 0, 1
4.707080, 21.796875, 0, 0
4.708900, 21.972656, 1, 0
4.710820, 22.148438, 1, 1
4.712840, 22.324219, 0, 1
4.715240, 22.500000, 0, 0
4.717200, 22.675781, 1, 0
4.719280, 22.851562, 1, 1
4.721520, 23.027344, 0, 1
4.724160, 23.203125, 0, 0
4.726300, 23.378906, 1, 0
4.728600, 23.554688, 1, 1
4.731020, 23.730469, 0, 1
4.734000, 23.906250, 0, 0
4.736380, 24.082031, 1, 0
4.738880, 24.257812, 1, 1
4.741540, 24.433594, 0, 1
4.744720, 24.609375, 0, 0
4.747080, 24.785156, 1, 0
4.749700, 24.960938, 1, 1
4.752420, 25.136719, 0, 1
4.755660, 25.312500, 0, 0
4.758080, 25.488281, 1, 0
4.760740, 25.664062, 1, 1
4.763560, 25.839844, 0, 1
4.766860, 26.015625, 0, 0
4.769420, 26.191406, 1, 0
4.772140, 26.367188, 1, 1
4.775040, 26.542969, 0, 1
4.778360, 26.718750, 0, 0
4.781000, 26.894531, 1, 0
4.783720, 27.070312, 1, 1
4.786580, 27.246094, 0, 1
4.789760, 27.421875, 0, 0
4.792280, 27.597656, 1, 0
4.794820, 27.773438, 1, 1
4.797400, 27.949219, 0, 1
4.800360, 28.125000, 0, 0
4.802640, 28.300781, 1, 0
4.805000, 28.476562, 1, 1
4.807460, 28.652344, 0, 1
4.810300, 28.828125, 0, 0
4.812440, 29.003906, 1, 0
4.814720, 29.179688, 1, 1
4.817100, 29.355469, 0, 1
4.819900, 29.531250, 0, 0
4.821940, 29.707031, 1, 0
4.824240, 29.882812, 1, 1
4.826640, 30.058594, 0, 1
4.829440, 30.234375, 0, 0
4.831600, 30.410156, 1, 0
4.833940, 30.585938, 1, 1
4.836560, 30.761719, 0, 1
4.839420, 30.937500, 0, 0
4.841480, 31.113281, 1, 0
4.843820, 31.289062, 1, 1
4.846380, 31.464844, 0, 1
4.849340, 31.640625, 0, 0
4.851660, 31.816406, 1, 0
4.854080, 31.992188, 1, 1
4.856660, 32.167969, 0, 1
4.859720, 32.343750, 0, 0
4.862080, 32.519531, 1, 0
4.864560, 32.695312, 1, 1
4.867060, 32.871094, 0, 1
4.870140, 33.046875, 0, 0
4.872800, 33.222656, 1, 0
4.875360, 33.398438, 1, 1
4.877940, 33.574219, 0, 1
4.881080, 33.750000, 0, 0
4.883480, 33.925781, 1, 0
4.886020, 34.101562, 1, 1
4.888620, 34.277344, 0, 1
4.891760, 34.453125, 0, 0
4.894140, 34.628906, 1, 0
4.896720, 34.804688, 1, 1
4.899340, 34.980469, 0, 1
4.902520, 35.156250, 0, 0
4.904900, 35.332031, 1, 0
4.907480, 35.507812, 1, 1
4.910260, 35.683594, 0, 1
4.913400, 35.859375, 0, 0
4.915860, 36.035156, 1, 0
4.918440, 36.210938, 1, 1
4.921100, 36.386719, 0, 1
4.924260, 36.562500, 0, 0
4.926700, 36.738281, 1, 0
4.929280, 36.914062, 1, 1
4.932080, 37.089844, 0, 1
4.935280, 37.265625, 0, 0
4.937820, 37.441406, 1, 0
4.940500, 37.617188, 1, 1
4.943340, 37.792969, 0, 1
4.946700, 37.968750, 0, 0
4.949360, 38.144531, 1, 0
4.952140, 38.320312, 1, 1
4.955080, 38.496094, 0, 1
4.958540, 38.671875, 0, 0
4.961160, 38.847656, 1, 0
4.963980, 39.023438, 1, 1
4.966900, 39.199219, 0, 1
4.970300, 39.375000, 0, 0
4.972840, 39.550781, 1, 0
4.975540, 39.726562, 1, 1
4.978280, 39.902344, 0, 1
4.981520, 40.078125, 0, 0
4.984000, 40.253906, 1, 0
4.986640, 40.429688, 1, 1
4.989400, 40.605469, 0, 1
4.992580, 40.781250, 0, 0
4.995040, 40.957031, 1, 0
4.997620, 41.132812, 1, 1
5.000340, 41.308594, 0, 1
5.003500, 41.484375, 0, 0
5.005980, 41.660156, 1, 0
5.008540, 41.835938, 1, 1
5.011180, 42.011719, 0, 1
5.014300, 42.187500, 0, 0
5.016680, 42.363281, 1, 0
5.019220, 42.539062, 1, 1
5.021900, 42.714844, 0, 1
5.025000, 42.890625, 0, 0
5.027460, 43.066406, 1, 0
5.030020, 43.242188, 1, 1
5.032720, 43.417969, 0, 1
5.035880, 43.593750, 0, 0
5.038280, 43.769531, 1, 0
5.040940, 43.945312, 1, 1
5.043780, 44.121094, 0, 1
5.047140, 44.296875, 0, 0
5.049640, 44.472656, 1, 0
5.052420, 44.648438, 1, 1
5.055340, 44.824219, 0, 1
5.058920, 45.000000, 0, 0
5.061600, 45.175781, 1, 0
5.064580, 45.351562, 1, 1
5.067740, 45.527344, 0, 1
5.071400, 45.703125, 0, 0
5.074440, 45.878906, 1, 0
5.077420, 46.054688, 1, 1
5.080560, 46.230469, 0, 1
5.084120, 46.406250, 0, 0
5.086940, 46.582031, 1, 0
5.089780, 46.757812, 1, 1
5.092760, 46.933594, 0, 1
5.096160, 47.109375, 0, 0
5.098820, 47.285156, 1, 0
5.101480, 47.460938, 1, 1
5.104200, 47.636719, 0, 1
5.107440, 47.812500, 0, 0
5.109700, 47.988281, 1, 0
5.112280, 48.164062, 1, 1
5.114960, 48.339844, 0, 1
5.118140, 48.515625, 0, 0
5.120480, 48.691406, 1, 0
5.123060, 48.867188, 1, 1
5.125660, 49.042969, 0, 1
5.128800, 49.218750, 0, 0
5.131300, 49.394531, 1, 0
5.133900, 49.570312, 1, 1
5.136740, 49.746094, 0, 1
5.139960, 49.921875, 0, 0
5.142640, 50.097656, 1, 0
5.145380, 50.273438, 1, 1
5.148280, 50.449219, 0, 1
5.151720, 50.625000, 0, 0
5.154440, 50.800781, 1, 0
5.157360, 50.976562, 1, 1
5.160420, 51.152344, 0, 1
5.164180, 51.328125, 0, 0
5.167040, 51.503906, 1, 0
5.170160, 51.679688, 1, 1
5.173380, 51.855469, 0, 1
5.177140, 52.031250, 0, 0
5.180000, 52.207031, 1, 0
5.182960, 52.382812, 1, 1
5.185980, 52.558594, 0, 1
5.189380, 52.734375, 0, 0
5.192000, 52.910156, 1, 0
5.194680, 53.085938, 1, 1
5.197460, 53.261719, 0, 1
5.200580, 53.437500, 0, 0
5.202940, 53.613281, 1, 0
5.205440, 53.789062, 1, 1
5.208040, 53.964844, 0, 1
5.210980, 54.140625, 0, 0
5.213280, 54.316406, 1, 0
5.215640, 54.492188, 1, 1
5.218060, 54.667969, 0, 1
5.220840, 54.843750, 0, 0
5.223040, 55.019531, 1, 0
5.225300, 55.195312, 1, 1
5.227620, 55.371094, 0, 1
5.230360, 55.546875, 0, 0
5.232480, 55.722656, 1, 0
5.234740, 55.898438, 1, 1
5.237060, 56.074219, 0, 1
5.239840, 56.250000, 0, 0
5.241980, 56.425781, 1, 0
5.244280, 56.601562, 1, 1
5.246640, 56.777344, 0, 1
5.249420, 56.953125, 0, 0
5.251540, 57.128906, 1, 0
5.253780, 57.304688, 1, 1
5.256120, 57.480469, 0, 1
5.258800, 57.656250, 0, 0
5.260840, 57.832031, 1, 0
5.263000, 58.007812, 1, 1
5.265240, 58.183594, 0, 1
5.267860, 58.359375, 0, 0
5.269900, 58.535156, 1, 0
5.272020, 58.710938, 1, 1
5.274220, 58.886719, 0, 1
5.276820, 59.062500, 0, 0
5.278860, 59.238281, 1, 0
5.280980, 59.414062, 1, 1
5.283200, 59.589844, 0, 1
5.285760, 59.765625, 0, 0
5.287800, 59.941406, 1, 0
5.289920, 60.117188, 1, 1
5.292180, 60.292969, 0, 1
5.294760, 60.468750, 0, 0
5.296820, 60.644531, 1, 0
5.298960, 60.820312, 1, 1
5.301200, 60.996094, 0, 1
5.303840, 61.171875, 0, 0
5.305780, 61.347656, 1, 0
5.307960, 61.523438, 1, 1
5.310280, 61.699219, 0, 1
5.313000, 61.875000, 0, 0
5.315100, 62.050781, 1, 0
5.317360, 62.226562, 1, 1
5.319660, 62.402344, 0, 1
5.322480, 62.578125, 0, 0
5.324640, 62.753906, 1, 0
5.327000, 62.929688, 1, 1
5.329540, 63.105469, 0, 1
5.332520, 63.281250, 0, 0
5.334960, 63.457031, 1, 0
5.337500, 63.632812, 1, 1
5.340200, 63.808594, 0, 1
5.343420, 63.984375, 0, 0
5.346000, 64.160156, 1, 0
5.348800, 64.335938, 1, 1
5.351760, 64.511719, 0, 1
5.355260, 64.687500, 0, 0
5.358140, 64.863281, 1, 0
5.361120, 65.039062, 1, 1
5.364380, 65.214844, 0, 1
5.368140, 65.390625, 0, 0
5.371160, 65.566406, 1, 0
5.374340, 65.742188, 1, 1
5.377620, 65.917969, 0, 1
5.381540, 66.093750, 0, 0
5.384440, 66.269531, 1, 0
5.387560, 66.445312, 1, 1
5.390740, 66.621094, 0, 1
5.394500, 66.796875, 0, 0
5.397360, 66.972656, 1, 0
5.400380, 67.148438, 1, 1
5.403500, 67.324219, 0, 1
5.407280, 67.500000, 0, 0
5.410300, 67.675781, 1, 0
5.413520, 67.851562, 1, 1
5.417060, 68.027344, 0, 1
5.421240, 68.203125, 0, 0
5.424800, 68.378906, 1, 0
5.428520, 68.554688, 1, 1
5.432520, 68.730469, 0, 1
5.437400, 68.906250, 0, 0
5.441400, 69.082031, 1, 0
5.445720, 69.257812, 1, 1
5.450600, 69.433594, 0, 1
5.456340, 69.609375, 0, 0
5.461040, 69.785156, 1, 0
5.466040, 69.960938, 1, 1
5.471240, 70.136719, 0, 1
5.477160, 70.312500, 0, 0
5.481600, 70.488281, 1, 0
5.486080, 70.664062, 1, 1
5.490700, 70.839844, 0, 1
5.495940, 71.015625, 0, 0
5.500000, 71.191406, 1, 0
5.504220, 71.367188, 1, 1
5.508700, 71.542969, 0, 1
5.513920, 71.718750, 0, 0
5.518160, 71.894531, 1, 0
5.522560, 72.070312, 1, 1
5.527060, 72.246094, 0, 1
5.532700, 72.421875, 0, 0
5.537100, 72.597656, 1, 0
5.542060, 72.773438, 1, 1
5.547540, 72.949219, 0, 1
5.554280, 73.125000, 0, 0
5.559800, 73.300781, 1, 0
5.565800, 73.476562, 1, 1
5.572120, 73.652344, 0, 1
5.579640, 73.828125, 0, 0
5.585520, 74.003906, 1, 0
5.591780, 74.179688, 1, 1
5.598440, 74.355469, 0, 1
5.606240, 74.531250, 0, 0
5.612460, 74.707031, 1, 0
5.619120, 74.882812, 1, 1
5.626260, 75.058594, 0, 1
5.635100, 75.234375, 0, 0
5.642500, 75.410156, 1, 0
5.650840, 75.585938, 1, 1
5.659400, 75.761719, 0, 1
5.668780, 75.937500, 0, 0
5.675620, 76.113281, 1, 0
5.682360, 76.289062, 1, 1
5.688960, 76.464844, 0, 1
5.696360, 76.640625, 0, 0
5.701840, 76.816406, 1, 0
5.707300, 76.992188, 1, 1
5.712800, 77.167969, 0, 1
5.719020, 77.343750, 0, 0
5.723800, 77.519531, 1, 0
5.728760, 77.695312, 1, 1
5.733920, 77.871094, 0, 1
5.740040, 78.046875, 0, 0
5.744780, 78.222656, 1, 0
5.749980, 78.398438, 1, 1
5.755500, 78.574219, 0, 1
5.762100, 78.750000, 0, 0
5.767480, 78.925781, 1, 0
5.773100, 79.101562, 1, 1
5.779020, 79.277344, 0, 1
5.785780, 79.453125, 0, 0
5.791240, 79.628906, 1, 0
5.796880, 79.804688, 1, 1
5.802900, 79.980469, 0, 1
5.809920, 80.156250, 0, 0
5.815640, 80.332031, 1, 0
5.821540, 80.507812, 1, 1
5.827800, 80.683594, 0, 1
5.835140, 80.859375, 0, 0
5.840840, 81.035156, 1, 0
5.847000, 81.210938, 1, 1
5.853500, 81.386719, 0, 1
5.861020, 81.562500, 0, 0
5.866740, 81.738281, 1, 0
5.872780, 81.914062, 1, 1
5.879060, 82.089844, 0, 1
5.886540, 82.265625, 0, 0
5.892160, 82.441406, 1, 0
5.898260, 82.617188, 1, 1
5.904660, 82.792969, 0, 1
5.912280, 82.968750, 0, 0
5.918320, 83.144531, 1, 0
5.924900, 83.320312, 1, 1
5.931840, 83.496094, 0, 1
5.939920, 83.671875, 0, 0
5.946260, 83.847656, 1, 0
5.952780, 84.023438, 1, 1
5.959700, 84.199219, 0, 1
5.967440, 84.375000, 0, 0
5.973340, 84.550781, 1, 0
5.979640, 84.726562, 1, 1
5.986220, 84.902344, 0, 1
5.993800, 85.078125, 0, 0
5.999800, 85.253906, 1, 0
6.006040, 85.429688, 1, 1
6.012780, 85.605469, 0, 1
6.020620, 85.781250, 0, 0
6.026800, 85.957031, 1, 0
6.033460, 86.132812, 1, 1
6.040480, 86.308594, 0, 1
6.049060, 86.484375, 0, 0
6.055940, 86.660156, 1, 0
6.063160, 86.835938, 1, 1
6.070800, 87.011719, 0, 1
6.080120, 87.187500, 0, 0
6.087680, 87.363281, 1, 0
6.096100, 87.539062, 1, 1
6.105720, 87.714844, 0, 1
6.118740, 87.890625, 0, 0
6.130100, 88.066406, 1, 0
6.143120, 88.242188, 1, 1
6.160520, 88.417969, 0, 1
6.187520, 88.593750, 0, 0
6.207480, 88.769531, 1, 0
6.227260, 88.945312, 1, 1
6.249000, 89.121094, 0, 1
6.275380, 89.296875, 0, 0
6.292220, 89.472656, 1, 0
6.308900, 89.648438, 1, 1
6.328700, 89.824219, 0, 1
6.370040, 90.000000, 0, 0
6.406080, 90.175781, 1, 0
6.476560, 90.351562, 1, 1
6.507860, 90.527344, 0, 1
6.538940, 90.703125, 0, 0
6.589440, 90.878906, 1, 0
6.661180, 90.703125, 0, 0
6.683140, 90.527344, 0, 1
6.702340, 90.351562, 1, 1
6.715740, 90.175781, 1, 0
6.729400, 90.000000, 0, 0
6.741260, 89.824219, 0, 1
6.756020, 89.648438, 1, 1
6.767120, 89.472656, 1, 0
6.776580, 89.296875, 0, 0
6.784340, 89.121094, 0, 1
6.792240, 88.945312, 1, 1
6.797940, 88.769531, 1, 0
6.802860, 88.593750, 0, 0
6.807340, 88.417969, 0, 1
6.812640, 88.242188, 1, 1
6.816940, 88.066406, 1, 0
6.820880, 87.890625, 0, 0
6.824680, 87.714844, 0, 1
6.829320, 87.539062, 1, 1
6.833060, 87.363281, 1, 0
6.836640, 87.187500, 0, 0
6.840120, 87.011719, 0, 1
6.844500, 86.835938, 1, 1
6.848000, 86.660156, 1, 0
6.851440, 86.484375, 0, 0
6.854820, 86.308594, 0, 1
6.859040, 86.132812, 1, 1
6.862360, 85.957031, 1, 0
6.865620, 85.781250, 0, 0
6.868720, 85.605469, 0, 1
6.872660, 85.429688, 1, 1
6.875900, 85.253906, 1, 0
6.878940, 85.078125, 0, 0
6.881920, 84.902344, 0, 1
6.885540, 84.726562, 1, 1
6.888560, 84.550781, 1, 0
6.891380, 84.375000, 0, 0
6.894060, 84.199219, 0, 1
6.897440, 84.023438, 1, 1
6.900240, 83.847656, 1, 0
6.902840, 83.671875, 0, 0
6.905360, 83.496094, 0, 1
6.908420, 83.320312, 1, 1
6.910900, 83.144531, 1, 0
6.913300, 82.968750, 0, 0
6.915580, 82.792969, 0, 1
6.918420, 82.617188, 1, 1
6.920720, 82.441406, 1, 0
6.922940, 82.265625, 0, 0
6.925040, 82.089844, 0, 1
6.927760, 81.914062, 1, 1
6.929940, 81.738281, 1, 0
6.932060, 81.562500, 0, 0
6.934120, 81.386719, 0, 1
6.936780, 81.210938, 1, 1
6.938940, 81.035156, 1, 0
6.941080, 80.859375, 0, 0
6.943140, 80.683594, 0, 1
6.945780, 80.507812, 1, 1
6.948000, 80.332031, 1, 0
6.950180, 80.156250, 0, 0
6.952360, 79.980469, 0, 1
6.955100, 79.804688, 1, 1
6.957440, 79.628906, 1, 0
6.959720, 79.453125, 0, 0
6.961980, 79.277344, 0, 1
