Header:,,,
#Digilent WaveForms Logic Analyzer Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A3700F,,,
#Date Time: 2022-10-28 16:30:14.816,,,
#Sample rate: 50000Hz,,,
#Samples: 1366378,,,
,,,
time, angle, A, B
6.28208,0.175781,1,0
6.28718,0.351562,1,1
6.29138,0.527344,0,1
6.29592,0.703125,0,0
6.29922,0.878906,1,0
6.30254,1.054688,1,1
6.30586,1.230469,0,1
6.3094,1.40625,0,0
6.31202,1.582031,1,0
6.31458,1.757812,1,1
6.31706,1.933594,0,1
6.31984,2.109375,0,0
6.32186,2.285156,1,0
6.32394,2.460938,1,1
6.32608,2.636719,0,1
6.3285,2.8125,0,0
6.33024,2.988281,1,0
6.33212,3.164062,1,1
6.334,3.339844,0,1
6.33622,3.515625,0,0
6.3379,3.691406,1,0
6.33966,3.867188,1,1
6.34144,4.042969,0,1
6.34346,4.21875,0,0
6.345,4.394531,1,0
6.3466,4.570312,1,1
6.3483,4.746094,0,1
6.35018,4.921875,0,0
6.35166,5.097656,1,0
6.35316,5.273438,1,1
6.35472,5.449219,0,1
6.35652,5.625,0,0
6.3579,5.800781,1,0
6.35934,5.976562,1,1
6.36084,6.152344,0,1
6.36262,6.328125,0,0
6.36394,6.503906,1,0
6.3654,6.679688,1,1
6.36688,6.855469,0,1
6.36868,7.03125,0,0
6.37006,7.207031,1,0
6.37154,7.382812,1,1
6.3731,7.558594,0,1
6.37494,7.734375,0,0
6.37632,7.910156,1,0
6.37786,8.085938,1,1
6.37952,8.261719,0,1
6.38144,8.4375,0,0
6.38298,8.613281,1,0
6.38458,8.789062,1,1
6.3862,8.964844,0,1
6.38818,9.140625,0,0
6.3897,9.316406,1,0
6.39136,9.492188,1,1
6.39318,9.667969,0,1
6.39526,9.84375,0,0
6.39698,10.019531,1,0
6.39874,10.195312,1,1
6.40054,10.371094,0,1
6.40276,10.546875,0,0
6.4044,10.722656,1,0
6.40626,10.898438,1,1
6.40834,11.074219,0,1
6.41074,11.25,0,0
6.41274,11.425781,1,0
6.41478,11.601562,1,1
6.41688,11.777344,0,1
6.41942,11.953125,0,0
